event_id,user_id,event_type,content_id,watch_time_mins,device,session_id,timestamp,ip_address
EVT1001,U1001,user_login,,0,Smart TV,sess_001,2024-03-01 08:30:15,192.168.1.45
EVT1002,U1001,search,MOV101,0,Smart TV,sess_001,2024-03-01 08:32:00,192.168.1.45
EVT1003,U1001,content_view,MOV101,0,Smart TV,sess_001,2024-03-01 08:33:10,192.168.1.45
EVT1004,U1001,video_watch,MOV101,85,Smart TV,sess_001,2024-03-01 08:35:00,192.168.1.45
EVT1005,U1002,user_login,,0,Mobile,sess_002,2024-03-01 09:10:00,103.21.124.1
EVT1006,U1002,content_view,SER201,0,Mobile,sess_002,2024-03-01 09:12:30,103.21.124.1
EVT1007,U1002,video_watch,SER201,52,Mobile,sess_002,2024-03-01 09:14:00,103.21.124.1
EVT1008,U1002,add_to_watchlist,DOC301,0,Mobile,sess_002,2024-03-01 10:07:00,103.21.124.1
EVT1009,U1003,user_login,,0,Web,sess_003,2024-03-01 11:00:20,24.156.99.12
EVT1010,U1003,video_watch,MOV102,110,Web,sess_003,2024-03-01 11:05:00,24.156.99.12
EVT1011,U1004,user_login,,0,Tablet,sess_004,2024-03-01 12:15:00,81.149.20.10
EVT1012,U1004,search,SER202,0,Tablet,sess_004,2024-03-01 12:18:10,81.149.20.10
EVT1013,U1004,video_watch,SER202,45,Tablet,sess_004,2024-03-01 12:20:00,81.149.20.10
EVT1014,U1005,user_login,,0,Smart TV,sess_005,2024-03-01 14:00:00,89.211.45.1
EVT1015,U1005,video_watch,DOC301,90,Smart TV,sess_005,2024-03-01 14:05:00,89.211.45.1
EVT1016,U1006,user_login,,0,Mobile,sess_006,2024-03-01 15:30:00,88.1.12.9
EVT1017,U1006,content_view,MOV103,0,Mobile,sess_006,2024-03-01 15:35:12,88.1.12.9
EVT1018,U1006,video_watch,MOV103,130,Mobile,sess_006,2024-03-01 15:40:00,88.1.12.9
EVT1019,U1007,user_login,,0,Web,sess_007,2024-03-01 17:00:00,126.11.23.4
EVT1020,U1007,video_watch,MOV105,120,Web,sess_007,2024-03-01 17:05:00,126.11.23.4
EVT1021,U1008,user_login,,0,Smart TV,sess_008,2024-03-01 18:20:00,89.100.1.2
EVT1022,U1008,video_watch,SER203,58,Smart TV,sess_008,2024-03-01 18:25:00,89.100.1.2
EVT1023,U1009,user_login,,0,Mobile,sess_009,2024-03-01 19:00:00,105.154.2.3
EVT1024,U1009,add_to_watchlist,MOV106,0,Mobile,sess_009,2024-03-01 19:05:00,105.154.2.3
EVT1025,U1010,user_login,,0,Web,sess_010,2024-03-01 20:00:00,194.71.107.1
EVT1026,U1010,video_watch,SER201,54,Web,sess_010,2024-03-01 20:10:00,194.71.107.1
EVT1027,U1011,user_login,,0,Smart TV,sess_011,2024-03-02 08:00:00,103.22.45.6
EVT1028,U1011,video_watch,MOV101,125,Smart TV,sess_011,2024-03-02 08:15:00,103.22.45.6
EVT1029,U1012,user_login,,0,Mobile,sess_012,2024-03-02 09:30:00,177.10.20.30
EVT1030,U1012,video_watch,SER205,50,Mobile,sess_012,2024-03-02 09:40:00,177.10.20.30
EVT1031,U1013,user_login,,0,Web,sess_013,2024-03-02 11:00:00,90.80.70.60
EVT1032,U1013,search,DOC302,0,Web,sess_013,2024-03-02 11:05:00,90.80.70.60
EVT1033,U1013,video_watch,DOC302,80,Web,sess_013,2024-03-02 11:10:00,90.80.70.60
EVT1034,U1014,user_login,,0,Tablet,sess_014,2024-03-02 13:00:00,82.40.50.60
EVT1035,U1014,video_watch,MOV104,100,Tablet,sess_014,2024-03-02 13:10:00,82.40.50.60
EVT1036,U1015,user_login,,0,Mobile,sess_015,2024-03-02 14:20:00,118.200.1.2
EVT1037,U1015,video_watch,SER204,50,Mobile,sess_015,2024-03-02 14:30:00,118.200.1.2
EVT1038,U1016,user_login,,0,Smart TV,sess_016,2024-03-02 16:00:00,64.233.160.1
EVT1039,U1016,video_watch,DOC303,72,Smart TV,sess_016,2024-03-02 16:15:00,64.233.160.1
EVT1040,U1001,video_watch,SER201,55,Smart TV,sess_017,2024-03-02 19:00:00,192.168.1.45
EVT1041,U1002,video_watch,MOV101,130,Mobile,sess_018,2024-03-02 20:00:00,103.21.124.1
EVT1042,U1005,video_watch,SER203,60,Smart TV,sess_019,2024-03-02 21:00:00,89.211.45.1
EVT1043,U1008,video_watch,MOV106,145,Smart TV,sess_020,2024-03-02 21:30:00,89.100.1.2
EVT1044,U1019,user_login,,0,Mobile,sess_021,2024-03-02 22:00:00,66.249.66.1
EVT1045,U1019,subscription,,0,Mobile,sess_021,2024-03-02 22:05:00,66.249.66.1
EVT1046,U1020,logout,,0,Web,sess_022,2024-03-02 22:30:00,133.1.2.3
EVT1047,,video_watch,MOV101,45,Mobile,sess_023,2024-03-02 23:00:00,127.0.0.1
EVT1048,U1002,invalid_action,MOV999,-10,Unknown,sess_024,malformed-date,999.999.999.999
EVT1040,U1001,video_watch,SER201,55,Smart TV,sess_017,2024-03-02 19:00:00,192.168.1.45
